Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149,Col150
Name1,22,Female,USA,Toronto,user1@example.com,+1-555-7545,Engineer,Umbrella,80240,Sales,Alice,2007-03-06,Inactive,740 Main St,15827,Canada,Note 1,27.92,9,26,Project 2,Alpha,4720,Name1,35,Male,Germany,Berlin,,+1-555-9723,,Acme Corp,102449,Marketing,,2007-02-02,Inactive,985 Main St,,Germany,Note 1,69.17,8,35,Project 98,Delta,,Name1,34,Male,UK,Berlin,user1@example.com,+1-555-7131,Analyst,Globex,51330,Sales,Charlie,2006-03-19,Inactive,248 Main St,74219,Australia,Note 1,49.17,3,3,Project 7,Beta,5270,Name1,39,Male,Germany,New York,user1@example.com,+1-555-2415,Analyst,Acme Corp,76388,HR,Diana,2002-05-28,Inactive,186 Main St,30227,Canada,Note 1,95.72,,2,Project 73,Alpha,9475,Name1,57,Other,USA,,user1@example.com,+1-555-9502,Clerk,Initech,52662,HR,Charlie,2013-08-17,On Leave,415 Main St,23002,Canada,Note 1,66.83,3,15,Project 68,Alpha,7094,Name1,47,Other,Australia,London,user1@example.com,+1-555-8595,Manager,Acme Corp,47317,Marketing,Diana,2006-02-26,,460 Main St,35798,Canada,,97.78,6,,Project 95,Gamma,1975,Name1,28,Other,Australia,Toronto,user1@example.com
Name2,20,Other,Canada,Toronto,user2@example.com,+1-555-3487,Clerk,Initech,100472,Engineering,Diana,2006-10-28,Active,,90935,Australia,Note 2,82.29,6,19,Project 37,Gamma,5699,Name2,57,Female,,Berlin,user2@example.com,+1-555-8894,Clerk,Globex,70209,Marketing,Bob,2020-12-24,Active,527 Main St,97068,Australia,Note 2,42.4,5,39,Project 11,Gamma,6798,Name2,22,Other,UK,New York,user2@example.com,+1-555-8416,Manager,Initech,75051,Marketing,,2013-08-29,Active,221 Main St,60597,Australia,Note 2,46.1,2,9,Project 47,Beta,4225,Name2,65,Male,Australia,Sydney,user2@example.com,+1-555-6166,Engineer,Umbrella,79956,Marketing,Charlie,2016-02-24,Inactive,196 Main St,33396,Germany,Note 2,34.16,5,,Project 62,Beta,3294,Name2,55,,UK,New York,user2@example.com,+1-555-2726,Engineer,Initech,48598,Engineering,Alice,2003-07-13,On Leave,273 Main St,95323,Germany,Note 2,95.99,9,4,Project 40,Beta,,,48,Other,Germany,Toronto,user2@example.com,+1-555-5466,Engineer,Globex,80636,Engineering,Charlie,,Active,565 Main St,89432,Australia,Note 2,49.33,1,2,Project 73,Alpha,7248,Name2,58,Female,Germany,Berlin,user2@example.com
Name3,30,Other,Canada,Sydney,user3@example.com,+1-555-9509,Analyst,Globex,119144,Marketing,Alice,2007-12-11,Active,533 Main St,34454,Australia,Note 3,12.0,,19,Project 25,Alpha,6810,Name3,38,Female,Canada,Toronto,user3@example.com,+1-555-4204,Analyst,Umbrella,77298,,Bob,,Active,669 Main St,,Germany,,14.5,9,,Project 62,Alpha,1235,Name3,,Other,USA,Berlin,user3@example.com,+1-555-4397,,Initech,117848,Engineering,Diana,2011-06-11,Active,763 Main St,82338,Germany,,59.18,7,29,Project 56,Gamma,6328,Name3,24,Female,Canada,New York,,+1-555-3605,Engineer,Globex,118638,Engineering,Bob,2006-01-01,,163 Main St,43792,Canada,,7.51,5,40,Project 80,,2398,Name3,46,,Australia,Berlin,,+1-555-8918,Clerk,Acme Corp,73081,HR,Alice,2016-07-26,Inactive,182 Main St,79659,Australia,Note 3,3.32,4,24,Project 14,Beta,4311,Name3,60,Male,USA,Sydney,user3@example.com,+1-555-8241,Engineer,Globex,34936,Marketing,Charlie,2011-02-01,Active,,21481,,Note 3,95.64,2,8,,Gamma,,Name3,25,Female,,New York,user3@example.com
Name4,27,Male,Australia,Sydney,user4@example.com,+1-555-9432,Manager,Acme Corp,119653,Engineering,Alice,,Active,770 Main St,57919,USA,Note 4,61.46,6,0,Project 41,Delta,4671,Name4,30,Male,Australia,Berlin,user4@example.com,+1-555-9151,Engineer,Umbrella,87937,,Charlie,2014-11-29,On Leave,938 Main St,54781,USA,Note 4,19.69,9,21,Project 81,Gamma,4798,Name4,37,Other,UK,Sydney,user4@example.com,+1-555-9012,Engineer,Globex,92760,HR,Diana,2018-03-26,Inactive,317 Main St,17468,,Note 4,65.58,5,33,Project 25,Beta,2978,Name4,63,Female,USA,London,user4@example.com,+1-555-1408,Manager,Acme Corp,52820,HR,Charlie,2017-11-06,On Leave,479 Main St,99814,,,57.81,5,16,Project 40,Delta,7406,Name4,23,Female,Canada,New York,user4@example.com,+1-555-6477,Manager,Globex,79671,HR,Charlie,2011-01-09,Active,805 Main St,60044,,Note 4,,9,13,Project 90,Delta,708,Name4,59,Female,USA,Berlin,user4@example.com,,Engineer,,60531,Marketing,Alice,2018-11-02,Inactive,813 Main St,72539,Australia,Note 4,75.87,9,23,Project 36,Alpha,515,Name4,64,Female,USA,Sydney,user4@example.com
Name5,57,Other,USA,London,user5@example.com,+1-555-6231,Analyst,Acme Corp,108630,Marketing,Diana,,Inactive,762 Main St,12688,Germany,Note 5,63.69,7,6,Project 50,Alpha,,Name5,56,Male,Canada,New York,user5@example.com,+1-555-5957,Clerk,Acme Corp,45238,Marketing,Charlie,2008-04-07,Inactive,366 Main St,69773,Germany,Note 5,35.56,5,24,,Delta,1270,,21,Other,Germany,Berlin,user5@example.com,,Manager,Globex,61960,Sales,,2007-11-17,On Leave,746 Main St,36947,Canada,Note 5,43.32,5,28,Project 28,Gamma,,Name5,31,Other,Australia,London,user5@example.com,+1-555-7699,Engineer,Globex,89314,HR,Alice,2011-04-13,On Leave,114 Main St,77707,,Note 5,64.12,8,6,Project 77,,5150,Name5,,Male,USA,Sydney,,+1-555-2989,Analyst,Initech,,Sales,Bob,2005-12-23,Inactive,621 Main St,54425,USA,,,8,10,Project 10,Delta,2057,Name5,59,Female,USA,Sydney,,+1-555-3056,Engineer,Umbrella,118518,HR,Bob,2012-09-19,Active,616 Main St,98700,Canada,Note 5,47.27,2,3,Project 58,Beta,1196,Name5,24,Female,Canada,Toronto,user5@example.com
Name6,60,Other,Germany,Sydney,user6@example.com,+1-555-8086,Clerk,Globex,46061,,Charlie,2008-11-08,On Leave,944 Main St,23693,Germany,Note 6,,1,29,Project 43,Alpha,7413,Name6,26,Female,Canada,London,user6@example.com,+1-555-6908,Analyst,Globex,85037,HR,Charlie,2016-12-12,,717 Main St,26922,Germany,Note 6,26.39,,40,Project 56,Alpha,8566,Name6,23,Other,Canada,New York,user6@example.com,+1-555-2501,Manager,Globex,40055,Sales,,2009-07-19,Active,529 Main St,11138,Australia,Note 6,94.54,2,2,Project 79,Alpha,349,Name6,29,Male,,Sydney,user6@example.com,+1-555-8773,Analyst,Initech,89340,Marketing,Alice,2004-06-08,On Leave,520 Main St,31311,Australia,Note 6,,5,38,Project 37,Beta,5378,,46,Other,Canada,London,user6@example.com,+1-555-9091,Engineer,Acme Corp,71920,HR,Bob,2015-08-31,Active,789 Main St,82999,USA,Note 6,33.02,4,1,Project 75,Gamma,6185,Name6,,Other,UK,Berlin,user6@example.com,+1-555-9364,Engineer,Globex,32125,Marketing,Alice,2005-02-10,Inactive,,98734,Canada,Note 6,17.39,,38,Project 88,Beta,1404,Name6,30,Female,Australia,Sydney,user6@example.com
Name7,41,Other,Australia,Sydney,user7@example.com,+1-555-6253,Analyst,Initech,119311,Sales,Bob,2007-07-01,Inactive,685 Main St,80637,Australia,Note 7,57.5,1,10,Project 76,Gamma,1988,Name7,45,Other,,New York,user7@example.com,+1-555-8860,Engineer,,83088,Sales,Bob,2007-01-03,Active,,17881,Australia,Note 7,58.4,6,30,,Delta,8488,Name7,,Male,UK,Sydney,user7@example.com,+1-555-2942,Clerk,Initech,99391,Engineering,Diana,2015-11-03,On Leave,732 Main St,58427,Canada,Note 7,80.76,10,31,,Gamma,4938,Name7,37,Male,Germany,London,user7@example.com,+1-555-1426,Engineer,Initech,92850,HR,Diana,,Inactive,,41319,Australia,Note 7,30.78,3,23,Project 9,Gamma,4961,Name7,20,Male,UK,London,user7@example.com,+1-555-1581,Manager,Globex,85223,HR,,2012-03-19,Active,564 Main St,82379,Canada,Note 7,37.16,7,6,Project 9,Gamma,1295,Name7,36,Female,,,user7@example.com,+1-555-8570,Manager,Initech,105827,HR,Diana,2012-12-21,Inactive,235 Main St,78282,Canada,Note 7,98.46,3,21,Project 38,Gamma,1093,Name7,49,Female,Canada,Toronto,
Name8,,Other,Australia,,user8@example.com,+1-555-6958,Clerk,Umbrella,59204,Engineering,Bob,2011-08-02,Active,199 Main St,91928,Australia,Note 8,64.09,2,,Project 10,Delta,8920,Name8,,Female,Canada,Berlin,user8@example.com,+1-555-9899,,Acme Corp,67626,Engineering,Diana,2009-04-13,,132 Main St,39009,Canada,Note 8,,,39,Project 23,Alpha,1389,Name8,56,Male,Australia,Sydney,,+1-555-2356,Analyst,Initech,116291,Sales,Diana,2013-09-28,On Leave,273 Main St,35967,Australia,Note 8,7.38,7,36,Project 20,Delta,3954,Name8,53,Female,,London,user8@example.com,+1-555-8011,Engineer,Initech,50799,,Diana,2008-06-21,Active,817 Main St,39576,UK,Note 8,14.53,2,20,Project 68,Delta,7534,Name8,34,Male,USA,London,user8@example.com,,Engineer,Globex,34042,Sales,Bob,,Inactive,999 Main St,74288,UK,Note 8,58.86,1,7,Project 55,Gamma,1005,Name8,63,Male,UK,Berlin,user8@example.com,+1-555-5715,Analyst,Umbrella,97344,HR,Diana,2020-07-16,Active,486 Main St,74216,Canada,Note 8,14.01,4,32,Project 13,,6372,Name8,48,Male,USA,Toronto,user8@example.com
Name9,51,,,Sydney,user9@example.com,+1-555-7964,Engineer,Umbrella,,HR,Bob,2016-01-29,Active,362 Main St,68108,,Note 9,60.52,9,17,,Beta,2451,Name9,52,Male,,Sydney,,+1-555-7204,Manager,Acme Corp,108766,Sales,,2000-04-26,Inactive,314 Main St,27193,USA,Note 9,,10,6,Project 87,Beta,505,Name9,,Female,Germany,,user9@example.com,+1-555-2740,Analyst,Umbrella,84032,HR,Diana,2014-01-24,Active,368 Main St,17939,,Note 9,1.48,4,29,,Beta,3139,Name9,59,Male,,Berlin,user9@example.com,+1-555-3179,,Initech,77608,Sales,Charlie,2018-10-09,Active,521 Main St,50385,Canada,Note 9,90.99,,13,Project 39,Delta,1592,Name9,29,Other,Canada,New York,,+1-555-8805,Clerk,Globex,41968,Sales,Diana,2009-04-06,On Leave,380 Main St,,Australia,Note 9,,1,17,Project 91,Beta,4336,Name9,23,Female,UK,London,user9@example.com,+1-555-8053,Engineer,Acme Corp,,Sales,Charlie,2014-10-12,On Leave,867 Main St,,Australia,Note 9,39.54,6,37,Project 30,Gamma,,Name9,48,,Australia,New York,user9@example.com
Name10,41,,USA,London,user10@example.com,+1-555-5373,Manager,,70158,Engineering,Alice,2004-02-15,Inactive,,60795,Australia,Note 10,13.1,7,34,Project 94,Delta,,Name10,64,Male,Germany,Sydney,user10@example.com,+1-555-9730,Engineer,Globex,80353,Engineering,Alice,2020-02-29,Active,590 Main St,61836,,Note 10,47.03,10,10,Project 36,Gamma,8877,Name10,35,Male,UK,London,user10@example.com,+1-555-5352,Engineer,Umbrella,114993,Sales,Alice,2002-08-15,,,87653,USA,Note 10,10.04,3,39,Project 38,,4694,Name10,65,Male,UK,New York,,+1-555-1337,Clerk,Acme Corp,76528,Marketing,Diana,2017-01-16,Active,582 Main St,42427,Canada,Note 10,51.03,4,0,,Delta,,Name10,59,Male,Canada,Berlin,user10@example.com,+1-555-7696,Engineer,Acme Corp,50357,HR,Charlie,2016-04-01,Inactive,,76770,Germany,Note 10,11.53,1,17,Project 8,Gamma,3595,Name10,43,Female,Australia,,user10@example.com,+1-555-8868,Manager,Umbrella,48445,Engineering,Bob,2008-05-27,On Leave,699 Main St,71395,UK,Note 10,89.04,2,21,Project 27,Beta,,Name10,22,Male,Germany,Sydney,user10@example.com
Name11,33,,,Sydney,user11@example.com,+1-555-2471,Manager,Umbrella,37358,Sales,Bob,2003-09-22,,100 Main St,37945,Australia,Note 11,29.12,4,23,Project 42,Beta,6630,Name11,51,Male,Canada,,user11@example.com,+1-555-1862,Analyst,Acme Corp,49004,Sales,Alice,2018-01-17,On Leave,379 Main St,96256,Canada,Note 11,95.43,10,33,Project 36,Beta,282,Name11,49,,,London,user11@example.com,+1-555-5826,Analyst,Initech,57650,Marketing,Alice,2009-12-16,On Leave,549 Main St,13572,UK,Note 11,67.17,1,,Project 33,Alpha,3346,Name11,52,Male,USA,London,user11@example.com,+1-555-9223,Engineer,Initech,99869,Engineering,Alice,2005-10-25,On Leave,817 Main St,86504,USA,Note 11,58.87,,,Project 70,Alpha,8299,Name11,42,Male,Australia,Toronto,user11@example.com,+1-555-8485,Clerk,Acme Corp,48407,,Bob,2001-02-23,Active,802 Main St,54126,Canada,Note 11,88.97,9,2,Project 69,Beta,7954,Name11,48,,Germany,Sydney,user11@example.com,+1-555-8710,Analyst,Acme Corp,114838,Sales,Charlie,2007-08-17,On Leave,504 Main St,10117,Canada,Note 11,60.46,10,30,Project 3,Beta,1031,,20,Other,UK,Sydney,user11@example.com
Name12,22,Female,Canada,Berlin,user12@example.com,+1-555-5476,Manager,Globex,48478,Sales,Bob,2004-06-27,Active,520 Main St,18421,Canada,Note 12,,6,38,Project 12,,4266,Name12,,Female,USA,Berlin,user12@example.com,+1-555-3528,Manager,Globex,71229,Engineering,Alice,2016-02-08,Active,592 Main St,69355,Germany,Note 12,99.19,6,26,,Beta,,Name12,46,Other,Australia,,user12@example.com,+1-555-5188,Clerk,Globex,34992,Sales,Diana,2012-03-19,,896 Main St,38672,USA,Note 12,89.05,3,,Project 72,Delta,,Name12,60,,USA,,user12@example.com,+1-555-5219,Manager,,49682,Engineering,Alice,2020-06-09,Active,458 Main St,,Canada,Note 12,39.98,1,22,Project 57,Delta,9018,Name12,39,Other,UK,New York,user12@example.com,+1-555-9456,Analyst,Globex,53654,HR,Bob,2014-10-03,On Leave,223 Main St,78599,USA,Note 12,99.22,2,27,Project 40,Gamma,9760,Name12,44,Other,UK,Toronto,user12@example.com,+1-555-5211,Clerk,Initech,,Engineering,,2005-01-12,Active,,67081,UK,Note 12,,6,24,Project 35,,4006,Name12,27,Other,,New York,user12@example.com
Name13,33,Other,UK,New York,user13@example.com,,Analyst,Umbrella,30690,HR,Diana,2008-01-29,Active,712 Main St,93560,Germany,Note 13,10.21,1,22,Project 46,Delta,5603,Name13,62,Other,Canada,London,user13@example.com,+1-555-7285,Manager,Umbrella,54169,Sales,Bob,2018-06-29,Inactive,352 Main St,77069,USA,,81.65,9,33,Project 65,Delta,8120,Name13,23,Other,,,user13@example.com,,Manager,Acme Corp,,Engineering,Charlie,,,392 Main St,34403,Canada,Note 13,27.66,2,,Project 68,Alpha,1662,Name13,59,Female,UK,Sydney,user13@example.com,+1-555-4652,Clerk,Umbrella,80221,,Diana,2006-10-16,Inactive,146 Main St,23676,Germany,Note 13,43.09,2,20,,Alpha,1758,Name13,22,Other,Germany,New York,user13@example.com,+1-555-4976,,Umbrella,39048,HR,Alice,2008-07-16,On Leave,896 Main St,73299,USA,Note 13,20.71,8,,Project 2,Delta,25,Name13,34,Male,,Berlin,user13@example.com,+1-555-3411,,Acme Corp,76219,Sales,Diana,2011-04-20,On Leave,,37503,USA,Note 13,12.2,9,11,,Gamma,3527,Name13,52,Male,Germany,Toronto,user13@example.com
Name14,41,,UK,Sydney,user14@example.com,+1-555-9514,Manager,Globex,73055,Sales,Bob,2008-06-05,Active,768 Main St,67954,Germany,Note 14,1.78,3,35,Project 5,Alpha,683,Name14,31,,UK,Sydney,,+1-555-1404,Manager,,37664,Engineering,Bob,2010-10-02,On Leave,618 Main St,61172,Canada,Note 14,9.0,3,9,Project 98,Gamma,,Name14,46,Female,Canada,,,+1-555-9409,Analyst,Acme Corp,108957,Marketing,Charlie,2011-03-17,On Leave,415 Main St,36985,USA,,51.08,5,23,Project 15,Beta,,Name14,59,Male,Germany,London,user14@example.com,+1-555-8215,Clerk,Umbrella,39769,HR,Bob,2017-12-12,Inactive,,19986,Australia,Note 14,13.39,5,31,Project 96,Gamma,3886,Name14,58,Female,Australia,Sydney,user14@example.com,+1-555-4464,Manager,Initech,30120,HR,Charlie,2017-12-14,Inactive,760 Main St,97884,Australia,Note 14,47.39,,15,,Alpha,4895,Name14,42,Male,Canada,Toronto,user14@example.com,,Manager,Globex,72369,Sales,Bob,2002-02-20,Active,645 Main St,17225,USA,Note 14,95.85,5,39,Project 66,Beta,9699,Name14,34,Other,UK,New York,user14@example.com
