Col1|Col2|Col3|Col4|Col5|Col6|Col7|Col8|Col9|Col10|Col11|Col12|Col13|Col14|Col15|Col16|Col17|Col18|Col19|Col20|Col21|Col22|Col23|Col24|Col25|Col26|Col27|Col28|Col29|Col30|Col31|Col32|Col33|Col34|Col35|Col36|Col37|Col38|Col39|Col40|Col41|Col42|Col43|Col44|Col45|Col46|Col47|Col48|Col49|Col50|Col51|Col52|Col53|Col54|Col55|Col56|Col57|Col58|Col59|Col60|Col61|Col62|Col63|Col64|Col65|Col66|Col67|Col68|Col69|Col70|Col71|Col72|Col73|Col74|Col75|Col76|Col77|Col78|Col79|Col80|Col81|Col82|Col83|Col84|Col85|Col86|Col87|Col88|Col89|Col90|Col91|Col92|Col93|Col94|Col95|Col96|Col97|Col98|Col99|Col100|Col101|Col102|Col103|Col104|Col105|Col106|Col107|Col108|Col109|Col110|Col111|Col112|Col113|Col114|Col115|Col116|Col117|Col118|Col119|Col120|Col121|Col122|Col123|Col124|Col125|Col126|Col127|Col128|Col129|Col130|Col131|Col132|Col133|Col134|Col135|Col136|Col137|Col138|Col139|Col140|Col141|Col142|Col143|Col144|Col145|Col146|Col147|Col148|Col149|Col150
Name1|46|Other|Canada|Berlin|user1@example.com|+1-555-5082||Globex|92472|Engineering|Alice|2001-09-01|On Leave|912 Main St|77967|Germany||80.01|1|25||Alpha|7079|Name1|25|Male|Australia|New York|user1@example.com||Clerk|Umbrella|49102|Sales|Bob||Active||21895|UK|Note 1|13.48|9|31|Project 11|Beta|9098|Name1|26||Germany|Berlin|user1@example.com|+1-555-3028|Clerk|Initech|55559|Engineering|Bob|2009-11-03|On Leave|163 Main St|25862|Australia|Note 1|9.89|2|7|Project 83|Gamma|6409|Name1|25||Canada|London|user1@example.com|+1-555-4298|Analyst|Globex|31660|Sales|Alice|2014-04-13|Active|408 Main St|23359|UK|Note 1|12.09|2|2|Project 13|Gamma|4628|Name1|58|Other|Germany|New York|||Clerk||55216|HR|Diana|2002-11-18|On Leave|997 Main St||Australia|Note 1|10.67|1|26|Project 93|Delta|987|Name1|62|Male|USA|New York|user1@example.com|+1-555-4575|Analyst|Umbrella|100844|HR|Diana|2009-11-29|Active|711 Main St|49768|Canada|Note 1|49.04|6|5|Project 34|Beta|1874|Name1|24|Male|Germany|Sydney|user1@example.com
Name2||Other|UK|Sydney|user2@example.com|+1-555-1770|Analyst|Acme Corp|76113|HR|Charlie|2010-09-15|Active|214 Main St||USA|Note 2|28.61|5|28|Project 72|Alpha|2277|Name2|48|Female|Germany|Sydney|user2@example.com|+1-555-4642|Manager|Acme Corp||Sales|Bob|2002-07-21|Inactive|543 Main St|56371|Germany|Note 2|94.22|4|24|Project 78|Gamma|9153|Name2|43|Female|Australia|Toronto|user2@example.com|+1-555-2077|Clerk||86510||Diana|2002-07-21|On Leave|310 Main St|67792|USA||26.76|1|22|Project 24|Delta|2838|Name2|43|Male|USA|New York|user2@example.com|+1-555-3830|Clerk|Initech|47151||Alice|2003-11-25|On Leave|775 Main St|57674|UK|Note 2|16.06|7|12|Project 34||6421|Name2|31|Other|Germany|Berlin|user2@example.com|+1-555-9104|Engineer|Acme Corp|78318|HR|Charlie|2009-07-27|Active|210 Main St|65899|Germany|Note 2|68.76|5||Project 33|Gamma|5431|Name2|32|Male|USA|Toronto||+1-555-5198|Manager|Acme Corp|37694|Sales|Charlie|2014-07-29||414 Main St|49971|USA|Note 2||9|37|Project 72|Beta|9674|Name2|32|Male|Australia||user2@example.com
Name3|42||Germany|Berlin|user3@example.com|+1-555-2476|Manager|Initech|96599|Sales||2018-07-06|On Leave|401 Main St|70700|Germany|Note 3|52.41|4|1|Project 66||4518|Name3|21|Other|Canada|Sydney|user3@example.com|+1-555-6383|Clerk|Initech|62526|Sales|Alice|2009-04-16|On Leave|417 Main St|50893|UK|Note 3|26.44|2|6||Gamma|3261|Name3||Female|UK|New York|user3@example.com|+1-555-2687||Acme Corp|115176|Marketing|Charlie|2014-08-03|Inactive|462 Main St||UK|Note 3|74.36|7|35|Project 26||4196|Name3|52||Germany|Sydney|user3@example.com|+1-555-6561|Engineer|Acme Corp|109548|Sales|Charlie|2006-06-12||347 Main St|68194||Note 3|2.52||3|Project 57|Beta|7715||25|Male|Australia||user3@example.com|+1-555-7702|Analyst|Initech|67918|Marketing|Diana|2017-05-13|Inactive|459 Main St|40951|Canada|Note 3|83.9|8||Project 87|Delta||Name3|64|Other|Australia|Sydney|user3@example.com|+1-555-6214|Clerk||115696|Sales|Bob|2008-05-28|Active|171 Main St|45805|Germany|Note 3|13.76|4|9|Project 15|Delta|4446|Name3|44|Other|Germany||user3@example.com
Name4|62|Female|Germany|New York|user4@example.com|+1-555-5633|Manager|Globex|36708|HR|Diana|2016-03-02|Active|374 Main St|87416|UK|Note 4|7.48|4|17||Delta|5478|Name4|32|Other|||user4@example.com||Analyst|Globex||HR|Charlie|2018-11-30|Active|116 Main St|59282|Australia|Note 4||5|38|Project 75|Alpha|6863|Name4||Male|Germany|London|user4@example.com|+1-555-3775|Analyst|Umbrella|69428|HR|Alice|2019-12-04|Active|590 Main St|41981|USA|Note 4|80.7|2|36|Project 7||9051||55|Female|Australia||user4@example.com|+1-555-6070|Clerk|Initech|119062|HR|Bob|2011-08-09|Inactive|406 Main St|22746|Germany|Note 4|69.56|3|14|Project 100|Delta|8083|Name4|21|Male||Toronto|user4@example.com||Analyst|Acme Corp|81686|Sales|Charlie||Inactive|812 Main St|15315|Canada|Note 4|52.32|9|31|Project 78||4778|Name4|20|Female||Toronto|user4@example.com|+1-555-9879|Analyst|Initech|119499|Engineering|Alice||Active||23904|USA|Note 4|43.45|8|6|Project 76|Beta|2674|Name4|20|Other|Australia|New York|user4@example.com
Name5|46|Male|Canada|New York|user5@example.com|+1-555-2139|Analyst|Initech|83954|Sales|Diana|2017-10-10|Inactive|581 Main St|43241|UK|Note 5|68.36|1|1|Project 36|Gamma|8428|Name5|30|Female|UK|London|user5@example.com|+1-555-2520|Manager|Acme Corp|37572|Sales|Alice|2010-05-30|Inactive|712 Main St|88177|Canada|Note 5|36.98|10|28|Project 29|Delta|2584|Name5|43|Male|Germany|New York|user5@example.com|+1-555-9211|Engineer|Initech|33249||Bob|2000-10-17|On Leave||75062|UK|Note 5|77.53|1|4||Delta|6136|Name5|59|Other|Australia|Toronto|user5@example.com|+1-555-5297|Analyst|Umbrella|104844|Sales|Charlie||Inactive|543 Main St|84406|UK|Note 5|63.83|1|17|Project 49||5066|Name5|47|Other|Australia|Berlin|user5@example.com|+1-555-3648|Manager|Initech|64672|HR|Charlie|2020-01-20||129 Main St|62697|UK|Note 5|56.9||32|Project 16|Beta|8145|Name5|31|Female|UK|London|user5@example.com|+1-555-6640||Umbrella|109160|Engineering|Diana|2005-04-18||227 Main St|83785|UK|Note 5||2|11|Project 95|Alpha|4789|Name5|64|Male|UK|London|user5@example.com
Name6|44|Male|Canada|London|user6@example.com||Analyst|Initech|86749|Sales|Diana|2009-11-23|On Leave|293 Main St|81822||Note 6|79.38|1|28|Project 6|Delta|7316|Name6|26|Other|UK|Sydney|user6@example.com|+1-555-9349|Engineer|Acme Corp|42699||Alice|2018-08-03|On Leave|455 Main St|10152|Australia|Note 6||6|36|Project 59|Delta|611|Name6|49|Other|UK|London|user6@example.com|+1-555-5241|Engineer|Acme Corp|||Charlie|2011-05-26|Inactive|141 Main St||USA|Note 6|54.23|2|2||Beta||Name6|59|Other|Australia|London|user6@example.com|+1-555-2408|Manager|Globex|90290|Sales||2003-05-09|On Leave|675 Main St|30295|USA|Note 6||9|38|Project 45|Gamma|5916|Name6|45|Other|Canada|Berlin|user6@example.com|+1-555-9587|Analyst|Initech|104750|HR|Alice|2005-12-21|Inactive|995 Main St|39447|Canada|Note 6|74.92||13||Beta|3450|Name6|43|Male|UK|London|user6@example.com|+1-555-9184|Clerk|Acme Corp|75134|Marketing|Diana|2013-03-02|Active|382 Main St|||Note 6|55.03|1|25|Project 41|Gamma|6287||51||UK|Sydney|user6@example.com
Name7||Other|Canada|Toronto|user7@example.com|+1-555-4694|Manager|Initech||Engineering|Diana|2015-10-06|On Leave|386 Main St|14760|Germany||58.97||||Gamma|4870|Name7|23|Female|Germany|Toronto|user7@example.com|+1-555-7577|Analyst|Globex|107207|Marketing|Diana|2004-10-08|Inactive|318 Main St|11190|Canada|Note 7|8.78|9|23|Project 2|Alpha||Name7|64|Male|Australia|New York|user7@example.com|+1-555-9363|Clerk||45618||Diana|2018-04-29|On Leave|496 Main St||UK|Note 7|74.82|6|21|Project 8|Beta|||32|Male|Australia|London|user7@example.com||Clerk|Initech|42301|HR|Diana|2020-06-17|Inactive||90486|Australia|Note 7||2|39|Project 19|Gamma|7822|Name7|44|Other|USA|Sydney|user7@example.com|+1-555-5193|Manager|Globex|108370|Sales|Diana|2005-04-02|On Leave|457 Main St|40426|USA|||3||Project 23||2344|Name7|52|Male|Germany|Berlin|user7@example.com|+1-555-1840|Analyst|Globex|32830||Charlie|2012-12-17|On Leave|410 Main St|64734|Germany|Note 7|62.5|||Project 32||||39|Male|Canada||
Name8|45|Female|Australia|Sydney|user8@example.com|+1-555-4313|Engineer|||HR|Diana|2001-02-14|Inactive|939 Main St|27346|Canada|Note 8|51.05|8|11||Alpha|2949||50||Germany|Berlin|user8@example.com|+1-555-6017|Engineer|Globex||HR||2012-02-09|Inactive|819 Main St|89222|Germany|Note 8|36.77|7|7|Project 76|Delta|6939|Name8|36|Male|UK|London|user8@example.com|+1-555-7414|Clerk|Umbrella|32586|Marketing||2004-11-10|Active|103 Main St|41457|UK|Note 8|37.61||7|Project 59|Beta||Name8|31|Male|Germany|Toronto|user8@example.com|+1-555-4721|Clerk|Acme Corp|42669|HR|Charlie|2015-12-13|On Leave|865 Main St|46162|Germany|Note 8||10|29||Alpha|4683|Name8|63|Male|USA||user8@example.com|+1-555-3049|Clerk|Acme Corp|111637|Engineering|Bob|2005-09-19|Inactive|841 Main St|85379|UK|Note 8|16.92|3|7|Project 83|Beta|189|Name8||Male|Australia|Berlin||+1-555-3438||Umbrella||Marketing|Alice|2000-05-12|On Leave|255 Main St|25364|Australia|Note 8||4|6|Project 66|Beta|4426|Name8|37|Male|UK|Berlin|
Name9|49|Female|Canada|London|user9@example.com|+1-555-3283|Engineer|Globex|71333|Engineering|Alice|2012-09-05|Active|179 Main St|15813|Canada|Note 9|37.7|1|31|Project 81||3173|Name9|38|Other|USA||user9@example.com|+1-555-8581|Manager|Umbrella|30215|Marketing|Charlie|2002-06-01|Active|430 Main St|40560|Australia|Note 9||9|11|Project 61|Delta|320|Name9|60|Other|UK|Sydney|user9@example.com|+1-555-5650|Manager|Acme Corp|88090|Marketing||2019-08-15|On Leave|389 Main St|59212|Germany|Note 9|74.14|1|19|Project 25|Delta|9511|Name9|57|Female|UK|Toronto|user9@example.com|+1-555-6170|Manager||96197||Alice|2013-05-12|Active|512 Main St|62668|USA|Note 9|16.14|10|35|Project 91|Beta|5286|Name9|29|Female|||user9@example.com|+1-555-9948|Clerk|Umbrella||Marketing|Diana|2019-03-30|On Leave|741 Main St|56115|UK|Note 9|97.09||1|Project 13|Delta|1333||37|Male|Germany|New York|user9@example.com|+1-555-4148||Globex|36404|Sales|Diana|2018-06-12|On Leave|582 Main St|40109|USA|Note 9|63.69||0|Project 45|Beta|9417|Name9|61|Male|Canada|New York|user9@example.com
Name10|60||Australia|Sydney|user10@example.com|+1-555-8666|Engineer|Umbrella|||Bob|2007-03-26|Active|476 Main St|12217|UK|Note 10|8.35|10|27|Project 20|Delta|1569|Name10|33|Female|Germany|Toronto|user10@example.com|+1-555-2997|Clerk|Initech|67853||Diana|2004-09-28||796 Main St|96499|Australia|Note 10|46.88|4|24|Project 16|Beta|3243|Name10|52||Germany|New York|user10@example.com|+1-555-1816|Clerk|Initech||Marketing|Bob|2019-08-04|Active|326 Main St|11113|Germany|Note 10|74.98|5|27|Project 1|Alpha|1880|Name10|24|Other|USA|Berlin|user10@example.com|+1-555-7780||Globex|55020||Bob|2000-09-27|On Leave|268 Main St|99194|USA|Note 10|34.37|4|21|Project 30|Gamma|4988|Name10||Female|Canada|Toronto|user10@example.com|+1-555-7501|Engineer|||Marketing|Bob|2011-11-10|Active|111 Main St|18135|Australia|Note 10|72.54|6|39|Project 9|Beta|2243|Name10|45|Female|Australia|London|user10@example.com|+1-555-9324|Analyst|Globex|37335|Engineering|Diana|2002-12-21|On Leave|416 Main St||Germany|Note 10|44.42|5|25|Project 72|Beta|6439|Name10|43|Female|USA|Berlin|
